Sequence_id	Greengene_id	Percentage_identity	E-value	Classification
40|TwinStudy_READ_09178370	42538	94.7	0.0	ncbi:Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
41|TwinStudy_READ_08988904	14001	95.7	0.0	ncbi:unclassified sequences; Unclassified; otu_4246
42|TwinStudy_READ_09216180	16054	97.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
43|TwinStudy_READ_08943310	44695	94.8	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
44|TwinStudy_READ_08917417	192302	99.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Unclassified; otu_1653
45|TwinStudy_READ_09038415	18361	99.2	0.0	ncbi:Bacteria; Unclassified; otu_205
46|TwinStudy_READ_09197366	196134	97.1	0.0	ncbi:Bacteria; Unclassified; otu_205
47|TwinStudy_READ_09027441	189786	99.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
48|TwinStudy_READ_09146650	21822	98.5	0.0	ncbi:Bacteria; Firmicutes; Mollicutes; Unclassified; otu_1955
49|TwinStudy_READ_09087951	162129	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
50|TwinStudy_READ_09171357	52410	97.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
51|TwinStudy_READ_09087049	189150	98.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
52|TwinStudy_READ_09095548	195467	99.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
53|TwinStudy_READ_09045039	18361	98.5	0.0	ncbi:Bacteria; Unclassified; otu_205
54|TwinStudy_READ_08916178	81160	98.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
55|TwinStudy_READ_09025671	13989	98.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
56|TwinStudy_READ_09203405	188863	97.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
57|TwinStudy_READ_09150978	210102	95.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
58|TwinStudy_READ_08964426	162129	98.7	0.0	ncbi:Bacteria; Unclassified; otu_205
59|TwinStudy_READ_08936877	109018	99.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
60|TwinStudy_READ_08966331	18361	98.8	0.0	ncbi:Bacteria; Unclassified; otu_205
61|TwinStudy_READ_08917760	210102	93.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
62|TwinStudy_READ_09015278	185556	98.4	0.0	ncbi:Bacteria; Firmicutes; Lactobacillales; Streptococcaceae; Streptococcus; Unclassified; otu_1946
63|TwinStudy_READ_08973504	198678	98.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
64|TwinStudy_READ_08971475	198122	99.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
65|TwinStudy_READ_09166179	180191	95.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
66|TwinStudy_READ_09052758	185556	99.0	0.0	ncbi:Bacteria; Firmicutes; Lactobacillales; Streptococcaceae; Streptococcus; Unclassified; otu_1946
67|TwinStudy_READ_09138829	52410	99.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
68|TwinStudy_READ_09147271	109018	99.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
69|TwinStudy_READ_09209101	198122	99.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
70|TwinStudy_READ_08990282	109018	98.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
71|TwinStudy_READ_08935300	188962	99.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
72|TwinStudy_READ_09063248	191148	97.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
73|TwinStudy_READ_09204941	169183	95.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
74|TwinStudy_READ_08942093	186000	99.8	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
75|TwinStudy_READ_09160333	102704	94.8	0.0	ncbi:Bacteria; Unclassified; otu_205
76|TwinStudy_READ_09039760	52410	99.8	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
77|TwinStudy_READ_08986389	173815	99.8	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Unclassified; otu_1747
78|TwinStudy_READ_09128448	52410	99.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
79|TwinStudy_READ_08997055	190311	97.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
80|TwinStudy_READ_08937930	173815	99.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Unclassified; otu_1747
81|TwinStudy_READ_09039873	196134	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
82|TwinStudy_READ_09093106	137514	93.3	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
83|TwinStudy_READ_09115476	197624	99.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
84|TwinStudy_READ_09154330	16076	99.1	0.0	ncbi:Bacteria; Unclassified; otu_205
85|TwinStudy_READ_08986543	18361	99.1	0.0	ncbi:Bacteria; Unclassified; otu_205
86|TwinStudy_READ_09100825	27866	100.0	0.0	ncbi:Bacteria; Unclassified; otu_205
87|TwinStudy_READ_09100614	177211	99.0	0.0	ncbi:Bacteria; Unclassified; otu_205
88|TwinStudy_READ_09048283	104581	92.9	7e-164	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
89|TwinStudy_READ_09032648	155577	94.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
90|TwinStudy_READ_09106186	188690	99.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
91|TwinStudy_READ_09178062	210102	95.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
92|TwinStudy_READ_09090011	177211	96.3	0.0	ncbi:Bacteria; Unclassified; otu_205
93|TwinStudy_READ_08974643	188962	99.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
94|TwinStudy_READ_09042685	111325	91.4	2e-133	ncbi:Bacteria; Firmicutes; Clostridia; Thermoanaerobacteriales; Thermoanaerobacteriaceae; Thermoanaerobacterium; otu_1867
95|TwinStudy_READ_09160348	18361	99.8	0.0	ncbi:Bacteria; Unclassified; otu_205
96|TwinStudy_READ_09086568	198122	99.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
97|TwinStudy_READ_09083118	199514	97.0	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
98|TwinStudy_READ_09094936	181056	98.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
99|TwinStudy_READ_09197142	199514	96.9	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
100|TwinStudy_READ_09094804	18619	96.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
101|TwinStudy_READ_09088375	109018	99.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
102|TwinStudy_READ_09192066	210534	93.4	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
103|TwinStudy_READ_09152069	188962	99.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
104|TwinStudy_READ_09151400	18361	100.0	0.0	ncbi:Bacteria; Unclassified; otu_205
105|TwinStudy_READ_09171363	27866	98.5	0.0	ncbi:Bacteria; Unclassified; otu_205
106|TwinStudy_READ_09045809	193360	99.0	0.0	ncbi:Bacteria; Unclassified; otu_205
107|TwinStudy_READ_08961674	188690	96.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
108|TwinStudy_READ_09003751	42538	94.0	1e-168	ncbi:Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
109|TwinStudy_READ_08970782	164869	100.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Unclassified; otu_1656
110|TwinStudy_READ_08971857	210102	90.4	2e-152	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
111|TwinStudy_READ_08991320	199119	97.1	0.0	ncbi:Bacteria; Bacteroidetes; Unclassified; otu_684
112|TwinStudy_READ_09159359	198122	99.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
113|TwinStudy_READ_09050411	52410	99.7	9e-160	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
114|TwinStudy_READ_09085538	187022	100.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
115|TwinStudy_READ_09079373	186062	96.3	4e-168	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
116|TwinStudy_READ_09192601	189786	97.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
117|TwinStudy_READ_09013509	198781	99.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
118|TwinStudy_READ_09201047	85145	99.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Acidaminococcaceae; Dialister; Unclassified; otu_1514
119|TwinStudy_READ_09170822	18361	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
120|TwinStudy_READ_09109054	109541	94.5	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
121|TwinStudy_READ_09152192	42538	91.4	1e-156	ncbi:Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
122|TwinStudy_READ_08927825	110361	95.5	5e-155	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Pseudobutyrivibrio; Unclassified; otu_1676
123|TwinStudy_READ_09175198	52410	99.6	3e-153	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Unclassified; otu_1547
124|TwinStudy_READ_09058400	189786	97.9	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
125|TwinStudy_READ_09218028	182431	100.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
126|TwinStudy_READ_08922040	175094	97.2	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
127|TwinStudy_READ_09126230	18361	98.5	0.0	ncbi:Bacteria; Unclassified; otu_205
128|TwinStudy_READ_09113491	109541	96.6	5e-171	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
129|TwinStudy_READ_09182520	198122	99.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
130|TwinStudy_READ_09118158	174734	98.6	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
131|TwinStudy_READ_09135282	16076	99.4	0.0	ncbi:Bacteria; Unclassified; otu_205
132|TwinStudy_READ_09107173	196916	98.8	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Prevotellaceae; Prevotella; Unclassified; otu_717
133|TwinStudy_READ_08983610	184985	99.0	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
134|TwinStudy_READ_08947486	29495	96.2	7e-173	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
135|TwinStudy_READ_09061950	197460	99.4	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Unclassified; otu_1653
136|TwinStudy_READ_09094436	110361	94.8	1e-146	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Pseudobutyrivibrio; Unclassified; otu_1676
137|TwinStudy_READ_08977163	198387	99.2	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
138|TwinStudy_READ_09085715	189786	99.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
139|TwinStudy_READ_08982635	189150	99.4	2e-179	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
140|TwinStudy_READ_09083246	137482	94.5	5e-168	ncbi:Bacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Unclassified; otu_604
141|TwinStudy_READ_09061152	27866	100.0	4e-168	ncbi:Bacteria; Unclassified; otu_205
142|TwinStudy_READ_09157516	197250	98.7	2e-172	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
143|TwinStudy_READ_09143248	197250	98.4	2e-169	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Unclassified; otu_1640
144|TwinStudy_READ_08924559	188911	97.0	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Porphyromonadaceae; Parabacteroides; Unclassified; otu_706
145|TwinStudy_READ_09181026	42538	93.9	9e-129	ncbi:Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
146|TwinStudy_READ_08916742	110361	94.8	4e-143	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Pseudobutyrivibrio; Unclassified; otu_1676
147|TwinStudy_READ_09004120	175094	98.6	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
148|TwinStudy_READ_09047140	48325	98.0	9e-160	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
149|TwinStudy_READ_09051881	196384	98.3	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
150|TwinStudy_READ_08946330	164869	98.8	3e-175	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Unclassified; otu_1656
151|TwinStudy_READ_09128284	58380	98.5	4e-143	ncbi:Bacteria; Unclassified; otu_205
152|TwinStudy_READ_09116800	199514	98.6	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
153|TwinStudy_READ_09050451	191786	98.0	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
154|TwinStudy_READ_08923683	168711	96.8	4e-152	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus; Unclassified; otu_1665
155|TwinStudy_READ_09033290	176109	99.7	1e-177	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
156|TwinStudy_READ_09218036	198781	100.0	1e-177	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Unclassified; otu_1498
157|TwinStudy_READ_09210314	196384	99.1	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
158|TwinStudy_READ_09048990	109018	99.1	9e-172	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Unclassified; otu_1631
159|TwinStudy_READ_08980882	164869	99.0	9e-172	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Unclassified; otu_1656
160|TwinStudy_READ_08924662	196518	98.7	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
161|TwinStudy_READ_09124870	175650	99.4	2e-172	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
162|TwinStudy_READ_09172010	196384	99.4	4e-171	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Faecalibacterium; Unclassified; otu_1574
163|TwinStudy_READ_08997281	189786	97.9	1e-167	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
164|TwinStudy_READ_09016047	177320	99.4	4e-174	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
165|TwinStudy_READ_09031065	194264	97.5	0.0	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Unclassified; otu_1653
166|TwinStudy_READ_09198927	104581	91.7	2e-114	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
167|TwinStudy_READ_09144499	190523	98.9	6e-145	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Unclassified; otu_1681
168|TwinStudy_READ_09188958	199354	99.1	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
169|TwinStudy_READ_08956672	210102	90.8	1e-116	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
170|TwinStudy_READ_09038977	187038	96.8	1e-152	ncbi:Bacteria; Unclassified; otu_205
171|TwinStudy_READ_09070510	81160	99.7	4e-171	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
172|TwinStudy_READ_09171720	181329	99.0	8e-163	ncbi:Bacteria; Firmicutes; Unclassified; otu_1350
173|TwinStudy_READ_08932173	186851	100.0	4e-155	ncbi:Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Unclassified; otu_1566
174|TwinStudy_READ_08981092	137482	95.7	2e-141	ncbi:Bacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Unclassified; otu_604
175|TwinStudy_READ_09017048	149504	99.1	0.0	ncbi:Bacteria; Bacteroidetes; Bacteroidetes (class); Bacteroidales; Bacteroidaceae; Bacteroides; Unclassified; otu_693
176|TwinStudy_READ_09074761	25317	97.0	4e-149	ncbi:Bacteria; Unclassified; otu_205
177|TwinStudy_READ_08918605	104358	94.0	2e-145	ncbi:Bacteria; Firmicutes; Bacillales; Bacillaceae; Bacillus; Unclassified; otu_1368
